session_id,phase_idx,class_id_target,class_name_target,condition,take,frame,class_id_pred,class_name_pred,confidence
20260317_022534,2,25,Precision Sphere,air,1,10,24,Precision Disk,0.3359
20260317_022534,2,25,Precision Sphere,air,1,11,24,Precision Disk,0.2784
20260317_022534,2,25,Precision Sphere,air,1,12,24,Precision Disk,0.3125
20260317_022534,2,25,Precision Sphere,air,1,13,24,Precision Disk,0.3351
20260317_022534,2,25,Precision Sphere,air,1,14,24,Precision Disk,0.316
20260317_022534,2,25,Precision Sphere,air,1,15,5,Palmar,0.3935
20260317_022534,2,25,Precision Sphere,air,1,16,24,Precision Disk,0.3416
20260317_022534,2,25,Precision Sphere,air,1,17,24,Precision Disk,0.5741
20260317_022534,2,25,Precision Sphere,air,1,18,24,Precision Disk,0.3565
20260317_022534,2,25,Precision Sphere,air,1,19,24,Precision Disk,0.4503
20260317_022534,2,25,Precision Sphere,air,1,20,24,Precision Disk,0.535
20260317_022534,2,25,Precision Sphere,air,1,21,24,Precision Disk,0.4518
20260317_022534,2,25,Precision Sphere,air,1,22,24,Precision Disk,0.4865
20260317_022534,2,25,Precision Sphere,air,1,23,5,Palmar,0.2968
20260317_022534,2,25,Precision Sphere,air,1,24,24,Precision Disk,0.4841
20260317_022534,2,25,Precision Sphere,air,1,25,24,Precision Disk,0.4903
20260317_022534,2,25,Precision Sphere,air,1,26,24,Precision Disk,0.4637
20260317_022534,2,25,Precision Sphere,air,1,27,24,Precision Disk,0.4618
20260317_022534,2,25,Precision Sphere,air,1,28,24,Precision Disk,0.4707
20260317_022534,2,25,Precision Sphere,air,1,29,24,Precision Disk,0.5123
20260317_022534,2,25,Precision Sphere,air,1,30,24,Precision Disk,0.4714
20260317_022534,2,25,Precision Sphere,air,1,31,24,Precision Disk,0.4212
20260317_022534,2,25,Precision Sphere,air,1,32,24,Precision Disk,0.3938
20260317_022534,2,25,Precision Sphere,air,1,33,24,Precision Disk,0.3547
20260317_022534,2,25,Precision Sphere,air,1,34,24,Precision Disk,0.3815
20260317_022534,2,25,Precision Sphere,air,1,35,24,Precision Disk,0.355
20260317_022534,2,25,Precision Sphere,air,1,36,24,Precision Disk,0.3781
20260317_022534,2,25,Precision Sphere,air,1,37,24,Precision Disk,0.44
20260317_022534,2,25,Precision Sphere,air,1,38,24,Precision Disk,0.3363
20260317_022534,2,25,Precision Sphere,air,1,39,24,Precision Disk,0.3387
20260317_022534,2,25,Precision Sphere,air,1,40,24,Precision Disk,0.3525
20260317_022534,2,25,Precision Sphere,air,1,41,24,Precision Disk,0.3377
20260317_022534,2,25,Precision Sphere,air,1,42,24,Precision Disk,0.4403
20260317_022534,2,25,Precision Sphere,air,1,43,24,Precision Disk,0.3512
20260317_022534,2,25,Precision Sphere,air,1,44,24,Precision Disk,0.3556
20260317_022534,2,25,Precision Sphere,air,1,45,24,Precision Disk,0.3294
20260317_022534,2,25,Precision Sphere,air,1,46,24,Precision Disk,0.3358
20260317_022534,2,25,Precision Sphere,air,1,47,24,Precision Disk,0.2949
20260317_022534,2,25,Precision Sphere,air,1,48,24,Precision Disk,0.3402
20260317_022534,2,25,Precision Sphere,air,1,49,24,Precision Disk,0.3322
20260317_022534,2,25,Precision Sphere,air,1,50,24,Precision Disk,0.3613
20260317_022534,2,25,Precision Sphere,air,1,51,24,Precision Disk,0.2912
