file,step,robots,has_test_metrics,test_score,z_dim,shared_dim,human_encoder,human_rot_repr,temporal_window,lam_udhm,xin_switching,contrastive_mode,extra_human_ratio,primitive_sample,force_cross_robot,n_steps,lr,b,T_0,seed,error
/home/yareeez/Downloads/pre_filter.pt,,,,,,,,,,,,,,,,,,,,,not a dict
/home/yareeez/Downloads/pre_transform.pt,,,,,,,,,,,,,,,,,,,,,not a dict
Downloads/stage1_best_val(29fix).pt,3000,shadow-legacy,False,,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_latest.pt,9500,shadow-legacy,False,,,,,,,,,,,,,,,,,,
Downloads/stage1_latest_run29fix.pt,14500,shadow-legacy,False,,,,,,,,,,,,,,,,,,
Downloads/stage1_run34_global-oracle_step10811.pt,10811,shadow-legacy,False,,16,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_run7_best_total.pt,4763,shadow-legacy,False,,,,,,,,,,,,,,,,,,
Downloads/stage1_run8_best.pt,9981,shadow-legacy,False,,,,,,,,,,,,,,,,,,
Downloads/stage1_run8_best_total.pt,9981,shadow-legacy,False,,,,,,,,,,,,,,,,,,
Downloads/stage1_shadow_allegro_bodex_objbal.pt,14999,shadow+allegro,False,,16,1024,spatial,r6,8,2.12,False,triplet,0.1,False,True,15000,0.001,100000,2000,21266,
AIST-hand/models/latent-retargeting/checkpoints/stage1_allegro_solo_bodex_noobjbal_ckpt24_14k5.pt,14553,allegro,False,,16,1024,spatial,r6,8,2.12,False,triplet,0.1,False,True,15000,0.001,50000,2000,21266,
AIST-hand/models/latent-retargeting/checkpoints/stage1_allegro_solo_bodex_objbal_15k.pt,14999,allegro,False,,16,1024,spatial,r6,8,2.12,False,triplet,0.1,False,True,15000,0.001,50000,2000,21266,
AIST-hand/models/latent-retargeting/checkpoints/stage1_best_total.pt,4,shadow-legacy,True,3.860323619991541,64,1024,,,,,,,0.1,,,5,0.001,64,2000,21266,
AIST-hand/models/latent-retargeting/checkpoints/stage1_latest.pt,0,shadow-legacy,False,,,,,,,,,,,,,,,,,,
AIST-hand/models/latent-retargeting/checkpoints/stage1_shadow_allegro_bodex_objbal_15k.pt,14999,shadow+allegro,False,,16,1024,spatial,r6,8,2.12,False,triplet,0.1,False,True,15000,0.001,100000,2000,21266,
AIST-hand/models/latent-retargeting/checkpoints/stage1_shadow_solo_ckpt17_run18b_13k7.pt,13768,shadow,False,,16,1024,,r6,,,False,triplet,0.1,False,True,15000,0.001,50000,2000,97973,
AIST-hand/models/latent-retargeting/checkpoints/stage1_shadow_udhm_B_15k.pt,14412,shadow,False,,16,1024,,r6,,2.12,False,triplet,0.1,False,True,15000,0.001,50000,2000,21266,
AIST-hand/grasp-model/checkpoints/stage1_best_total.pt,2,shadow-legacy,True,4.2784223221987485,16,1024,,,,,,,0.1,,,3,0.001,20000,2000,72322,
AIST-hand/grasp-model/checkpoints/stage1_latest.pt,0,shadow-legacy,False,,,,,,,,,,,,,,,,,,
